time_s,actual_x,actual_y,actual_yaw,cte_m
0.0000,5.5000,10.0000,-0.0000,0.0000
37.8991,5.5205,10.0000,-0.0032,0.0864
38.2028,5.5472,9.9998,-0.0168,0.1092
38.5024,5.5721,9.9991,-0.0352,0.1316
38.6998,5.5932,9.9982,-0.0563,0.1511
38.9991,5.6215,9.9962,-0.0858,0.1776
39.1992,5.6450,9.9938,-0.1121,0.1982
39.4991,5.6761,9.9898,-0.1468,0.2139
39.6992,5.7021,9.9855,-0.1692,0.2263
39.8991,5.7294,9.9806,-0.1857,0.2390
40.0993,5.7561,9.9756,-0.1876,0.2524
40.3996,5.7861,9.9702,-0.1782,0.2704
40.6995,5.8102,9.9655,-0.1796,0.2860
41.0019,5.8355,9.9606,-0.1833,0.3029
41.6992,5.8123,9.9660,-0.1776,0.2879
42.1006,5.7891,9.9704,-0.1785,0.2727
43.0996,5.8169,9.9651,-0.1817,0.0686
43.3996,5.8425,9.9597,-0.1911,0.0930
43.6993,5.8683,9.9545,-0.1918,0.1184
44.0013,5.8931,9.9498,-0.1880,0.1431
48.2007,5.8567,9.9570,-0.1842,0.0096
48.4001,5.8095,9.9658,-0.1842,0.0028
48.5016,5.7859,9.9702,-0.1842,0.0001
48.5999,5.7564,9.9757,-0.1843,0.0037
48.6993,5.7269,9.9811,-0.1843,0.0073
48.8016,5.7033,9.9855,-0.1844,0.0102
48.9998,5.6620,9.9932,-0.1844,0.0163
49.1000,5.6384,9.9976,-0.1845,0.0174
49.2003,5.6089,10.0031,-0.1846,0.0006
49.2997,5.5853,10.0075,-0.1847,0.0150
49.4001,5.5617,10.0119,-0.1848,0.0294
49.5993,5.5204,10.0195,-0.1848,0.0547
49.6995,5.4908,10.0250,-0.1849,0.0727
49.7989,5.4613,10.0306,-0.1850,0.0907
49.8996,5.4378,10.0350,-0.1851,0.1051
50.0003,5.4142,10.0394,-0.1851,0.1210
50.0995,5.3847,10.0449,-0.1851,0.1441
50.1991,5.3611,10.0493,-0.1851,0.1641
50.3995,5.3198,10.0571,-0.1851,0.2013
50.4991,5.2962,10.0615,-0.1850,0.2234
50.5993,5.2692,10.0665,-0.1849,0.2490
51.2992,5.2977,10.0630,-0.1934,0.2216
51.4996,5.3394,10.0542,-0.2188,0.1832
51.6003,5.3594,10.0496,-0.2325,0.1656
51.7005,5.3878,10.0426,-0.2555,0.1422
51.7992,5.4169,10.0345,-0.2837,0.1215
51.8996,5.4412,10.0271,-0.3092,0.1079
52.0000,5.4670,10.0185,-0.3372,0.0947
52.1000,5.5000,10.0063,-0.3743,0.0786
52.2000,5.5346,9.9919,-0.4144,0.0629
52.3006,5.5628,9.9790,-0.4463,0.0509
52.3991,5.5904,9.9652,-0.4811,0.0398
52.4991,5.6192,9.9495,-0.5172,0.0281
52.5991,5.6474,9.9329,-0.5510,0.0108
52.7017,5.6761,9.9145,-0.5879,0.0061
52.7993,5.7043,9.8950,-0.6249,0.0220
52.8993,5.7319,9.8744,-0.6605,0.0369
53.0037,5.7586,9.8528,-0.6975,0.0506
53.1025,5.7917,9.8238,-0.7449,0.0680
53.1998,5.8171,9.7995,-0.7814,0.0871
53.2997,5.8414,9.7747,-0.8151,0.0082
53.3989,5.9033,9.6879,-0.8260,0.0818
53.4996,5.9273,9.6609,-0.8607,0.1088
53.6018,5.9560,9.6261,-0.9056,0.1320
53.6991,5.9716,9.6056,-0.9324,0.1444
53.7992,5.9983,9.5679,-0.9806,0.1651
53.9001,6.0241,9.5429,-0.9971,0.1885
53.9995,6.0511,9.5097,-1.0232,0.2124
54.0991,6.0689,9.4792,-1.0594,0.2275
54.2003,6.0855,9.4484,-1.0974,0.2413
54.3009,6.1016,9.4156,-1.1353,0.2543
54.3993,6.1162,9.3827,-1.1728,0.2660
54.4993,6.1367,9.3347,-1.2183,0.2821
54.5991,6.1520,9.2905,-1.2690,0.2934
54.6994,6.1619,9.2567,-1.3052,0.3002
54.8000,6.1706,9.2223,-1.3419,0.3058
54.8993,6.1781,9.1873,-1.3798,0.3098
54.9994,6.1833,9.1504,-1.4166,0.3112
55.0998,6.1851,9.1016,-1.4681,0.3080
55.1993,6.1875,9.0748,-1.4963,0.3076
55.2997,6.1898,9.0309,-1.5447,0.3054
55.4002,6.1900,8.9865,-1.5910,0.3021
55.4998,6.1886,8.9507,-1.6277,0.2981
55.5992,6.1885,8.9084,-1.6603,0.2949
55.6991,6.1834,8.8620,-1.6979,0.2865
55.7992,6.1781,8.8239,-1.7182,0.2785
55.8993,6.1703,8.7748,-1.7345,0.2683
55.9992,6.1639,8.7369,-1.7393,0.2600
56.0998,6.1692,8.6967,-1.7370,0.2632
56.1995,6.1663,8.6565,-1.7354,0.2583
56.3026,6.1584,8.6075,-1.7341,0.2485
56.4010,6.1520,8.5682,-1.7333,0.2408
56.5015,6.1458,8.5287,-1.7329,0.2332
56.5993,6.1397,8.4876,-1.7329,0.2258
56.6992,6.1343,8.4362,-1.7373,0.2189
56.8000,6.1265,8.3872,-1.7334,0.2100
56.8995,6.1204,8.3484,-1.7283,0.2030
56.9993,6.1131,8.2999,-1.7212,0.1947
57.0997,6.1075,8.2602,-1.7138,0.1883
57.2029,6.1022,8.2210,-1.7053,0.1825
57.3008,6.0979,8.1823,-1.7003,0.1776
57.3999,6.0959,8.1460,-1.6971,0.1752
57.4993,6.0911,8.0972,-1.6929,0.1697
57.5995,6.0868,8.0585,-1.6879,0.1650
57.6996,6.0828,8.0201,-1.6827,0.1607
57.7991,6.0780,7.9718,-1.6770,0.1555
57.8992,6.0733,7.9232,-1.6722,0.1504
57.9994,6.0563,7.8924,-1.6717,0.1331
58.0994,6.0444,7.8583,-1.6696,0.1211
58.2009,6.0408,7.8196,-1.6653,0.1172
58.3018,6.0373,7.7800,-1.6616,0.1136
58.3998,6.0339,7.7403,-1.6590,0.1100
58.4991,6.0308,7.7005,-1.6560,0.1067
58.5990,6.0268,7.6539,-1.6520,0.0148
58.6995,6.0212,7.6165,-1.6494,0.0170
58.8010,6.0191,7.5867,-1.6472,0.0165
58.8992,6.0160,7.5373,-1.6440,0.0154
58.9990,6.0134,7.4979,-1.6413,0.0145
59.0991,6.0116,7.4684,-1.6393,0.0138
59.1991,6.0083,7.4188,-1.6375,0.0127
59.2989,6.0001,7.3505,-1.6365,0.0150
59.3991,5.9977,7.3109,-1.6342,0.0139
59.4994,5.9952,7.2610,-1.6319,0.0121
59.5993,5.9930,7.2211,-1.6311,0.0108
59.6992,5.9908,7.1811,-1.6301,0.0095
59.8006,5.9887,7.1412,-1.6284,0.0081
59.8997,5.9693,7.1036,-1.6312,0.0242
59.9990,5.9645,7.0636,-1.6295,0.0255
60.0992,5.9617,7.0134,-1.6283,0.0239
60.1997,5.9596,6.9730,-1.6261,0.0225
60.2991,5.9577,6.9324,-1.6230,0.0209
60.3998,5.9561,6.8922,-1.6206,0.0190
60.4997,5.9503,6.8337,-1.6197,0.0197
60.6015,5.9429,6.7599,-1.6181,0.0207
60.6995,5.9416,6.7302,-1.6167,0.0195
60.8003,5.9399,6.6906,-1.6154,0.0177
60.9004,5.9383,6.6509,-1.6144,0.0159
60.9991,5.9371,6.6112,-1.6127,0.0138
61.1005,5.9360,6.5713,-1.6111,0.0115
61.3012,5.9390,6.5396,-1.6023,0.0058
61.3997,5.9376,6.4996,-1.6030,0.0037
61.4999,5.9360,6.4497,-1.6023,0.0011
61.5995,5.9349,6.4098,-1.6006,0.0012
61.6991,5.9335,6.3516,-1.5980,0.0046
61.7998,5.9285,6.3181,-1.6022,0.0025
61.8997,5.9267,6.2797,-1.6018,0.0039
62.0003,5.9259,6.2401,-1.5991,0.0064
62.0992,5.9250,6.1908,-1.5962,0.0095
62.1992,5.9240,6.1512,-1.5949,0.0118
62.2993,5.9228,6.1030,-1.5950,0.0145
