time_s,actual_x,actual_y,actual_yaw,cte_m
0.0366,-0.0000,0.0000,-0.0000,0.0000
62.5375,0.0372,0.0001,0.0014,0.0356
62.6380,0.0588,-0.0000,-0.0034,0.0334
62.7376,0.0849,-0.0002,-0.0136,0.0310
62.8374,0.1191,-0.0010,-0.0292,0.0284
62.9375,0.1530,-0.0024,-0.0500,0.0244
63.0373,0.1877,-0.0046,-0.0733,0.0162
63.1381,0.2239,-0.0078,-0.1041,0.0085
63.2383,0.2585,-0.0120,-0.1377,0.0022
63.3367,0.2909,-0.0171,-0.1737,0.0036
63.4375,0.3320,-0.0252,-0.2199,0.0162
63.5369,0.3648,-0.0332,-0.2562,0.0251
63.6374,0.4048,-0.0446,-0.3017,0.0343
63.7369,0.4368,-0.0551,-0.3369,0.0410
63.8383,0.4785,-0.0707,-0.3778,0.0514
63.9377,0.5107,-0.0841,-0.4127,0.0583
64.0388,0.5440,-0.0992,-0.4434,0.0643
64.1391,0.5856,-0.1150,-0.4695,0.0744
64.2376,0.6108,-0.1278,-0.4882,0.0779
64.3369,0.6436,-0.1458,-0.5101,0.0340
64.4374,0.6846,-0.1693,-0.5338,0.0375
64.5368,0.7168,-0.1887,-0.5476,0.0395
64.6376,0.7405,-0.2034,-0.5570,0.0407
64.7375,0.7727,-0.2237,-0.5680,0.0425
64.8381,0.8116,-0.2491,-0.5778,0.0444
64.9375,0.8345,-0.2642,-0.5823,0.0454
65.0375,0.8664,-0.2854,-0.5866,0.0466
65.1381,0.8982,-0.3067,-0.5901,0.0477
65.2369,0.9293,-0.3277,-0.5932,0.0486
65.3384,0.9614,-0.3494,-0.5971,0.0495
65.4372,0.9857,-0.3661,-0.6001,0.0501
65.5369,1.0181,-0.3883,-0.6041,0.0507
65.6380,1.0503,-0.4107,-0.6081,0.0511
65.7368,1.0824,-0.4332,-0.6124,0.0514
65.8369,1.1142,-0.4557,-0.6170,0.0516
65.9368,1.1453,-0.4778,-0.6209,0.0515
66.0380,1.1767,-0.5004,-0.6249,0.0513
66.1376,1.2083,-0.5233,-0.6288,0.0510
66.2373,1.2399,-0.5463,-0.6325,0.0505
66.3372,1.2791,-0.5752,-0.6379,0.0497
66.4372,1.3180,-0.6043,-0.6457,0.0486
66.5376,1.3415,-0.6221,-0.6503,0.0477
66.6369,1.3729,-0.6461,-0.6584,0.0463
66.7369,1.3969,-0.6648,-0.6652,0.0096
66.8395,1.4360,-0.6959,-0.6774,0.0121
66.9395,1.4743,-0.7271,-0.6887,0.0016
67.0373,1.4980,-0.7467,-0.6961,0.0121
67.1380,1.5288,-0.7728,-0.7049,0.0271
