time_s,cmd_vx,odom_vx,cmd_delta,odom_delta
62.1227,0.0499,0.0000,0.2024,0.0000
62.1756,0.0499,0.0021,0.2024,0.0000
62.2245,0.1019,0.0808,0.0950,0.0419
62.2760,0.1019,0.0546,0.0950,0.0165
62.3222,0.1869,0.0624,0.0226,0.0339
62.3723,0.1869,0.0982,0.0226,0.0734
62.4240,0.2742,0.1172,-0.0876,0.0280
62.4756,0.2742,0.1993,-0.0876,0.0149
62.5237,0.3509,0.2664,-0.2040,-0.0372
62.5767,0.3509,0.2389,-0.2040,-0.1124
62.6225,0.4136,0.3083,-0.3148,-0.1109
62.6726,0.4136,0.3410,-0.3148,-0.1585
62.7226,0.4577,0.3131,-0.4073,-0.2192
62.7735,0.4577,0.4275,-0.4073,-0.2072
62.8241,0.4926,0.4272,-0.4669,-0.2612
62.8730,0.4926,0.4212,-0.4669,-0.2896
62.9254,0.5000,0.4250,-0.5268,-0.3137
62.9731,0.5000,0.4363,-0.5268,-0.2990
63.0219,0.5000,0.4400,-0.5680,-0.3608
63.0736,0.5000,0.4644,-0.5680,-0.3792
63.1224,0.5000,0.4411,-0.5851,-0.4322
63.1770,0.5000,0.4258,-0.5851,-0.4437
63.2252,0.5000,0.4440,-0.5861,-0.4528
63.2734,0.5000,0.4076,-0.5861,-0.5090
63.3221,0.5000,0.4119,-0.5746,-0.4969
63.3756,0.5000,0.4226,-0.5746,-0.5014
63.4221,0.5000,0.4178,-0.5500,-0.5019
63.4742,0.5000,0.4267,-0.5500,-0.4984
63.5219,0.5000,0.4186,-0.5197,-0.4851
63.5717,0.5000,0.4004,-0.5197,-0.5120
63.6214,0.5000,0.4293,-0.4880,-0.4947
63.6718,0.5000,0.4181,-0.4880,-0.5108
63.7216,0.5000,0.4243,-0.4525,-0.4567
63.7716,0.5000,0.4253,-0.4525,-0.4179
63.8243,0.5000,0.4593,-0.4023,-0.4488
63.8767,0.5000,0.4257,-0.4023,-0.4699
63.9215,0.5000,0.4472,-0.3518,-0.4564
63.9780,0.5000,0.4607,-0.3518,-0.3993
64.0215,0.5000,0.4614,-0.3043,-0.3901
64.0731,0.5000,0.4319,-0.3043,-0.3867
64.1227,0.5000,0.4664,-0.2634,-0.3094
64.1725,0.5000,0.4505,-0.2634,-0.3204
64.2260,0.5000,0.4737,-0.2203,-0.3206
64.2739,0.5000,0.4582,-0.2203,-0.3052
64.3245,0.5000,0.4747,-0.1822,-0.2497
64.3737,0.5000,0.4548,-0.1822,-0.2501
64.4218,0.5000,0.4920,-0.1480,-0.2425
64.4716,0.5000,0.4571,-0.1480,-0.1945
64.5237,0.5000,0.4816,-0.1218,-0.1671
64.5736,0.5000,0.4583,-0.1218,-0.1817
64.6224,0.5000,0.4775,-0.1001,-0.1449
64.6735,0.5000,0.4608,-0.1001,-0.1495
64.7233,0.5000,0.4954,-0.0744,-0.1362
64.7740,0.5000,0.4569,-0.0744,-0.1304
64.8277,0.5000,0.4601,-0.0574,-0.0817
64.8734,0.5000,0.4761,-0.0574,-0.0783
64.9217,0.5000,0.4572,-0.0383,-0.0779
64.9712,0.5000,0.5054,-0.0383,-0.0546
65.0243,0.5000,0.4324,-0.0363,-0.0532
