time_s,cmd_vx,odom_vx,cmd_delta,odom_delta
35.3031,0.0392,0.0000,0.0540,0.0000
35.3524,0.0392,0.0000,0.0540,0.0000
35.4034,0.0392,0.0045,0.0540,0.0000
35.4530,0.0833,0.1019,-0.1270,0.0126
35.5024,0.1501,0.1558,-0.1867,0.0193
35.5543,0.1501,0.0141,-0.1867,-0.0002
35.6045,0.2138,0.0485,-0.2866,-0.0061
35.6541,0.2138,0.2017,-0.2866,-0.0625
35.7029,0.2678,0.2662,-0.3871,-0.0978
35.7573,0.2678,0.2000,-0.3871,-0.1919
35.8042,0.3064,0.2520,-0.4719,-0.2010
35.8524,0.3064,0.2632,-0.4719,-0.2390
35.9027,0.3303,0.2905,-0.5500,-0.2626
35.9532,0.3303,0.2957,-0.5500,-0.2912
36.0036,0.3439,0.3162,-0.6109,-0.2963
36.0521,0.3439,0.3009,-0.6109,-0.3581
36.1017,0.3523,0.3152,-0.6109,-0.3371
36.1559,0.3523,0.3294,-0.6109,-0.3732
36.2024,0.3590,0.3330,-0.6109,-0.3747
36.2534,0.3590,0.3328,-0.6109,-0.4127
36.3041,0.3677,0.3361,-0.6109,-0.4262
36.3540,0.3677,0.3388,-0.6109,-0.4393
36.4025,0.3783,0.3436,-0.6109,-0.4362
36.4521,0.3783,0.3444,-0.6109,-0.4587
36.5020,0.3935,0.3447,-0.6109,-0.4610
36.5547,0.3935,0.3455,-0.6109,-0.4666
36.6047,0.4109,0.3681,-0.6109,-0.4470
36.6571,0.4109,0.3615,-0.6109,-0.5035
36.7019,0.4318,0.3624,-0.6109,-0.4907
36.7518,0.4318,0.3669,-0.6109,-0.4845
36.8017,0.4549,0.3926,-0.6109,-0.4709
36.8522,0.4549,0.3845,-0.6109,-0.5070
36.9049,0.4549,0.4124,-0.6109,-0.4866
36.9525,0.4797,0.4384,-0.6109,-0.4562
37.0062,0.5000,0.4049,-0.6109,-0.4330
37.0530,0.5000,0.3900,-0.6109,-0.4664
37.1031,0.5000,0.4516,-0.6109,-0.4742
37.1550,0.5000,0.4411,-0.6109,-0.4749
37.2021,0.5000,0.4222,-0.6109,-0.4885
37.2540,0.5000,0.4639,-0.6109,-0.5112
37.3022,0.5000,0.4242,-0.6109,-0.4562
37.3519,0.5000,0.4501,-0.6109,-0.5125
37.4086,0.5000,0.4138,-0.6109,-0.4905
37.4570,0.5000,0.4416,-0.6109,-0.5116
37.5045,0.5000,0.4503,-0.6109,-0.4899
37.5525,0.5000,0.4502,-0.6109,-0.5126
37.6027,0.5000,0.4447,-0.6109,-0.5076
37.6520,0.5000,0.4550,-0.6109,-0.4857
37.7020,0.5000,0.4485,-0.6109,-0.4744
37.7518,0.5000,0.4389,-0.6109,-0.4746
37.8025,0.5000,0.4460,-0.6109,-0.4658
37.8524,0.5000,0.4357,-0.6109,-0.4857
37.9032,0.5000,0.4423,-0.6109,-0.4771
37.9558,0.5000,0.4495,-0.6109,-0.4493
38.0031,0.5000,0.4360,-0.6109,-0.4946
38.0558,0.5000,0.4350,-0.6109,-0.4990
38.1034,0.5000,0.4423,-0.6109,-0.4719
38.1567,0.5000,0.4320,-0.6109,-0.5071
38.2019,0.5000,0.4428,-0.6109,-0.4733
