time_s,cmd_vx,odom_vx,cmd_delta,odom_delta
37.5363,0.0126,0.0000,-0.6109,0.0000
37.5873,0.0126,0.0000,-0.6109,0.0000
37.6370,0.0400,0.0015,-0.4297,0.0000
37.6897,0.0400,0.0680,-0.4297,0.0000
37.7378,0.0664,0.1349,-0.3822,-0.0722
37.7887,0.0664,0.0509,-0.3822,-0.1012
37.8373,0.0906,0.1082,-0.3680,-0.0324
37.8939,0.0906,0.1446,-0.3680,-0.1263
37.9373,0.1096,0.0371,-0.3817,-0.2715
37.9867,0.1096,0.0935,-0.3817,-0.0786
38.0365,0.1223,0.1145,-0.4025,-0.2156
38.0890,0.1223,0.1267,-0.4025,-0.2649
38.1364,0.1298,0.1141,-0.4292,-0.2874
38.1874,0.1298,0.1295,-0.4292,-0.3321
38.2402,0.1327,0.1081,-0.4609,-0.3192
38.2920,0.1327,0.1506,-0.4609,-0.3327
38.3378,0.1328,0.1197,-0.4957,-0.3393
38.3870,0.1328,0.1096,-0.4957,-0.3557
38.4403,0.1311,0.1356,-0.5330,-0.3680
38.4876,0.1311,0.1313,-0.5330,-0.4083
38.5365,0.1301,0.1029,-0.5674,-0.4410
38.5865,0.1301,0.1382,-0.5674,-0.4690
38.6398,0.1306,0.0982,-0.5968,-0.4700
38.6877,0.1306,0.1222,-0.5968,-0.4885
38.7421,0.1311,0.1168,-0.6109,-0.4679
38.7874,0.1311,0.1216,-0.6109,-0.4811
38.8377,0.1333,0.1226,-0.6109,-0.4809
38.8880,0.1333,0.1003,-0.6109,-0.4764
38.9361,0.1378,0.1401,-0.6109,-0.4949
38.9889,0.1378,0.1148,-0.6109,-0.4769
39.0376,0.1429,0.1306,-0.5968,-0.5087
39.0862,0.1429,0.1179,-0.5968,-0.5086
39.1392,0.1474,0.1355,-0.5690,-0.5037
39.1876,0.1474,0.1378,-0.5690,-0.5196
39.2378,0.1522,0.1319,-0.5338,-0.5194
39.2874,0.1522,0.1411,-0.5338,-0.5211
39.3404,0.1567,0.1430,-0.4872,-0.5213
39.3882,0.1567,0.1431,-0.4872,-0.5169
39.4362,0.1610,0.1443,-0.4339,-0.5079
39.4864,0.1610,0.1493,-0.4339,-0.4492
39.5370,0.1642,0.1517,-0.3689,-0.4262
39.5864,0.1642,0.1468,-0.3689,-0.4128
39.6366,0.1655,0.1514,-0.2889,-0.4021
39.6962,0.1655,0.1090,-0.2889,-0.4428
39.7404,0.1657,0.1680,-0.1918,-0.3102
39.7868,0.1657,0.1428,-0.1918,-0.3375
39.8364,0.1638,0.1460,-0.0791,-0.2953
39.8867,0.1638,0.1742,-0.0791,-0.1805
39.9401,0.1587,0.1458,0.0445,-0.0973
39.9874,0.1587,0.1689,0.0445,-0.0770
40.0376,0.1525,0.1437,0.1959,-0.0503
40.0869,0.1525,0.1490,0.1959,0.0805
40.1364,0.1329,0.1652,0.1776,0.1082
40.1935,0.1329,0.1497,0.1776,0.1401
40.2438,0.1329,0.1435,0.1776,0.1627
40.2877,0.1161,0.1155,0.1086,0.1620
40.3420,0.0968,0.1179,-0.0790,0.1815
40.3914,0.0968,0.1450,-0.0790,0.1710
40.4448,0.0760,0.1141,-0.3948,0.0427
40.4909,0.0760,0.1160,-0.3948,0.0551
40.5409,0.0558,0.0678,-0.6109,0.0227
40.5865,0.0558,0.1481,-0.6109,-0.0301
40.6364,0.0366,0.1179,-0.6109,-0.1522
40.6909,0.0366,0.1179,-0.6109,-0.1155
40.7364,0.0193,0.1262,-0.6109,-0.1429
40.7871,0.0193,0.0950,-0.6109,-0.0259
40.8389,0.0033,0.0992,-0.6109,-0.0466
40.8904,0.0033,0.0995,-0.6109,-0.0244
40.9448,-0.0108,0.0998,0.6109,-0.0050
40.9876,-0.0108,0.0690,0.6109,0.0133
41.0395,-0.0206,-0.0003,0.6109,0.0338
41.0878,-0.0206,-0.0001,0.6109,-0.0284
