time_s,actual_x,actual_y,actual_yaw,cte_m
0.0490,-0.0000,0.0000,-0.0000,0.0000
35.7498,0.0351,-0.0000,-0.0043,0.0377
35.8507,0.0596,-0.0002,-0.0142,0.0354
35.9488,0.0822,-0.0007,-0.0266,0.0336
36.1499,0.1320,-0.0028,-0.0607,0.0307
36.2496,0.1582,-0.0047,-0.0826,0.0268
36.3520,0.1850,-0.0073,-0.1070,0.0212
36.4503,0.2122,-0.0105,-0.1332,0.0162
36.5522,0.2326,-0.0135,-0.1538,0.0128
36.6488,0.2682,-0.0196,-0.1897,0.0080
36.7490,0.2966,-0.0255,-0.2208,0.0027
36.8488,0.3267,-0.0327,-0.2535,0.0056
36.9496,0.3661,-0.0438,-0.2967,0.0150
37.0487,0.3962,-0.0535,-0.3267,0.0212
37.1506,0.4215,-0.0624,-0.3542,0.0257
37.2489,0.4541,-0.0751,-0.3915,0.0357
37.3488,0.4944,-0.0928,-0.4385,0.0486
37.4517,0.5256,-0.1081,-0.4765,0.0574
37.5498,0.5496,-0.1209,-0.5063,0.0633
37.6488,0.5878,-0.1433,-0.5552,0.0746
37.7495,0.6106,-0.1579,-0.5829,0.0837
37.8508,0.6398,-0.1779,-0.6193,0.0946
37.9490,0.6752,-0.2043,-0.6647,0.1065
38.0493,0.6955,-0.2207,-0.6932,0.1126
38.1489,0.7222,-0.2436,-0.7298,0.1224
38.2486,0.7415,-0.2614,-0.7577,0.1320
38.3500,0.7738,-0.2933,-0.8023,0.1470
38.4496,0.7918,-0.3123,-0.8266,0.1548
38.5490,0.8276,-0.3533,-0.8828,0.1690
38.6491,0.8501,-0.3818,-0.9229,0.1799
38.7495,0.8770,-0.4192,-0.9738,0.1933
38.8501,0.8969,-0.4597,-1.0114,0.1992
38.9487,0.9196,-0.4978,-1.0599,0.2084
39.0488,0.9366,-0.5295,-1.0973,0.2144
39.1495,0.9523,-0.5615,-1.1353,0.2190
39.2487,0.9701,-0.6021,-1.1801,0.2230
39.3513,0.9836,-0.6362,-1.2104,0.2248
39.4489,0.9962,-0.6712,-1.2409,0.2255
39.5497,1.0078,-0.7067,-1.2660,0.2252
39.6503,1.0216,-0.7525,-1.2949,0.2236
39.7501,1.0321,-0.7913,-1.3159,0.2212
39.8514,1.0418,-0.8301,-1.3322,0.2180
39.9488,1.0523,-0.8702,-1.3479,0.2151
40.0491,1.0585,-0.8943,-1.3542,0.2133
40.1491,1.0666,-0.9324,-1.3606,0.2087
40.2497,1.0762,-0.9795,-1.3672,0.2028
40.3488,1.0837,-1.0161,-1.3732,0.1982
40.4508,1.0909,-1.0543,-1.3783,0.1928
40.5494,1.0961,-1.0834,-1.3814,0.0167
40.6495,1.1049,-1.1322,-1.3848,0.0115
40.7488,1.1120,-1.1714,-1.3872,0.0074
40.8489,1.1211,-1.2199,-1.3852,0.0027
40.9490,1.1287,-1.2576,-1.3787,0.0005
41.0501,1.1345,-1.2853,-1.3718,0.0027
41.1488,1.1445,-1.3315,-1.3613,0.0060
41.2499,1.1528,-1.3685,-1.3537,0.0084
41.3493,1.1614,-1.4060,-1.3478,0.0105
41.4489,1.1681,-1.4341,-1.3435,0.0119
41.5497,1.1774,-1.4719,-1.3388,0.0135
41.6487,1.1896,-1.5197,-1.3341,0.0151
41.7509,1.1971,-1.5491,-1.3312,0.0161
41.8489,1.2044,-1.5781,-1.3279,0.0172
41.9518,1.2142,-1.6168,-1.3240,0.0185
42.0503,1.2242,-1.6551,-1.3207,0.0196
42.1489,1.2348,-1.6940,-1.3176,0.0203
42.2487,1.2428,-1.7230,-1.3152,0.0207
42.3492,1.2559,-1.7812,-1.3111,0.0243
42.4495,1.2691,-1.8293,-1.3075,0.0250
42.5498,1.2800,-1.8677,-1.3052,0.0254
42.6495,1.2910,-1.9061,-1.3035,0.0255
42.7495,1.3020,-1.9448,-1.3024,0.0257
42.8494,1.3129,-1.9831,-1.3012,0.0259
42.9492,1.3238,-2.0215,-1.3002,0.0261
43.0489,1.3319,-2.0503,-1.2995,0.0264
43.1490,1.3427,-2.0885,-1.2985,0.0267
43.2493,1.3562,-2.1364,-1.2970,0.0271
43.3486,1.3672,-2.1748,-1.2963,0.0272
43.4508,1.3783,-2.2134,-1.2955,0.0273
43.5486,1.3894,-2.2519,-1.2950,0.0273
43.6494,1.4006,-2.2904,-1.2945,0.0273
43.7485,1.4143,-2.3384,-1.2939,0.0275
43.8494,1.4225,-2.3672,-1.2935,0.0276
43.9519,1.4335,-2.4055,-1.2925,0.0278
44.0504,1.4444,-2.4438,-1.2922,0.0280
44.1491,1.4582,-2.4919,-1.2920,0.0282
44.2498,1.4665,-2.5206,-1.2918,0.0300
44.3491,1.4776,-2.5590,-1.2916,0.0293
44.4487,1.4886,-2.5973,-1.2912,0.0286
44.5490,1.4969,-2.6261,-1.2908,0.0280
44.6493,1.5079,-2.6643,-1.2904,0.0273
44.7494,1.5214,-2.7123,-1.2918,0.0261
44.8494,1.5320,-2.7507,-1.2930,0.0250
44.9504,1.5427,-2.7892,-1.2949,0.0238
45.0492,1.5558,-2.8372,-1.2967,0.0223
45.1486,1.5663,-2.8754,-1.2980,0.0211
45.2490,1.5743,-2.9041,-1.2989,0.0203
45.3488,1.5875,-2.9520,-1.2999,0.0188
45.4492,1.5981,-2.9905,-1.3006,0.0177
45.5497,1.6087,-3.0290,-1.3010,0.0165
45.6499,1.6221,-3.0772,-1.3012,0.0151
45.7503,1.6328,-3.1157,-1.3010,0.0140
45.8494,1.6435,-3.1542,-1.3008,0.0129
45.9491,1.6541,-3.1926,-1.3000,0.0118
46.0487,1.6621,-3.2212,-1.2992,0.0109
46.1487,1.6728,-3.2595,-1.2983,0.0100
46.2499,1.6837,-3.2978,-1.2978,0.0092
46.3505,1.6949,-3.3364,-1.2972,0.0084
46.4497,1.7088,-3.3846,-1.2962,0.0076
46.5504,1.7144,-3.4040,-1.2956,0.0073
46.6488,1.7282,-3.4523,-1.2942,0.0063
46.7487,1.7449,-3.5103,-1.2921,0.0052
46.8495,1.7533,-3.5393,-1.2910,0.0047
46.9489,1.7675,-3.5871,-1.2901,0.0041
47.0498,1.7789,-3.6254,-1.2892,0.0038
47.1494,1.7903,-3.6637,-1.2883,0.0035
47.2500,1.8046,-3.7115,-1.2875,0.0031
47.3487,1.8157,-3.7496,-1.2863,0.0025
47.4502,1.8240,-3.7782,-1.2855,0.0021
47.5506,1.8381,-3.8260,-1.2852,0.0015
47.6486,1.8465,-3.8547,-1.2853,0.0010
47.7490,1.8604,-3.9027,-1.2858,0.0002
47.8490,1.8687,-3.9315,-1.2860,0.0367
47.9491,1.8799,-3.9699,-1.2862,0.0360
48.0500,1.8939,-4.0178,-1.2867,0.0350
48.1488,1.9021,-4.0463,-1.2882,0.0345
48.2490,1.9133,-4.0846,-1.2879,0.0336
48.4489,1.9336,-4.1516,-1.2846,0.0316
48.5487,1.9425,-4.1800,-1.2822,0.0304
48.6492,1.9513,-4.2086,-1.2787,0.0293
48.7485,1.9633,-4.2467,-1.2754,0.0277
48.8498,1.9753,-4.2845,-1.2723,0.0260
48.9491,1.9904,-4.3320,-1.2677,0.0238
49.0487,1.9995,-4.3604,-1.2656,0.0224
49.1493,2.0147,-4.4070,-1.2614,0.0199
49.2489,2.0240,-4.4351,-1.2595,0.0183
49.3490,2.0367,-4.4727,-1.2573,0.0159
49.4498,2.0526,-4.5199,-1.2548,0.0128
49.5502,2.0622,-4.5483,-1.2542,0.0109
49.6487,2.0751,-4.5862,-1.2534,0.0084
49.7489,2.0846,-4.6148,-1.2525,0.0066
49.8493,2.0972,-4.6528,-1.2512,0.0044
49.9490,2.1130,-4.7001,-1.2493,0.0015
50.0507,2.1227,-4.7284,-1.2481,0.0005
50.1492,2.1357,-4.7662,-1.2472,0.0032
50.2490,2.1455,-4.7945,-1.2465,0.0052
50.3512,2.1585,-4.8323,-1.2458,0.0080
50.4493,2.1749,-4.8795,-1.2448,0.0109
50.5488,2.1846,-4.9077,-1.2441,0.0124
50.6507,2.1943,-4.9362,-1.2432,0.0138
50.7486,2.2102,-4.9831,-1.2420,0.0160
50.8491,2.2266,-5.0301,-1.2411,0.0157
50.9488,2.2431,-5.0772,-1.2406,0.0150
51.0499,2.2528,-5.1055,-1.2404,0.0145
51.1501,2.2658,-5.1432,-1.2402,0.0139
51.2493,2.2788,-5.1809,-1.2399,0.0132
51.3488,2.2951,-5.2280,-1.2399,0.0089
51.5494,2.3208,-5.3135,-1.2404,0.0023
51.6487,2.3368,-5.3607,-1.2408,0.0032
51.7506,2.3497,-5.3986,-1.2410,0.0112
51.8491,2.3624,-5.4364,-1.2430,0.0211
51.9495,2.3749,-5.4743,-1.2501,0.0307
52.0494,2.3872,-5.5127,-1.2657,0.0401
52.1495,2.3985,-5.5500,-1.2846,0.0486
52.2489,2.4065,-5.5779,-1.3008,0.0545
52.3486,2.4187,-5.6248,-1.3308,0.0632
52.4497,2.4300,-5.6743,-1.3614,0.0707
52.6495,2.4411,-5.7317,-1.3958,0.0775
52.7492,2.4476,-5.7720,-1.4178,0.0810
52.8491,2.4533,-5.8115,-1.4366,0.0836
52.9490,2.4592,-5.8608,-1.4574,0.0858
